date,restaurant_id,restaurant_type,menu_item_name,meal_type,key_ingredients_tags,typical_ingredient_cost,observed_market_price,actual_selling_price,quantity_sold,has_promotion,special_event,weather_condition
1/3/2024,6,Fine Dining,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9,45.72,61.65,92,FALSE,FALSE,Sunny
1/3/2024,38,Fine Dining,Beef Rendang,Lunch,"beef, coconut milk, galangal, lemongrass, spices, chili",9,49.12,53.04,148,TRUE,FALSE,Sunny
1/3/2024,46,Casual Dining,Spaghetti Carbonara,Lunch,"spaghetti, eggs, cheese, beef bacon, black pepper",9,24.51,53.13,148,FALSE,FALSE,Sunny
1/3/2024,50,Food Stall,Roti Canai,Breakfast,"flour, ghee, egg, water, curry",0.8,1.74,2.92,239,FALSE,FALSE,Sunny
1/3/2024,40,Food Stall,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2,3.75,8.38,64,FALSE,FALSE,Sunny
1/3/2024,11,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,9.08,13.76,263,FALSE,FALSE,Cloudy
1/3/2024,22,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,1.62,1.73,673,TRUE,TRUE,Cloudy
1/3/2024,28,Fine Dining,Nasi Lemak,Breakfast,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,12.98,12.19,503,TRUE,FALSE,Sunny
1/3/2024,16,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7,14.28,27.15,99,FALSE,FALSE,Cloudy
1/3/2024,18,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7,14.38,24.66,181,FALSE,FALSE,Sunny
1/3/2024,20,Casual Dining,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2,5.1,11.45,119,FALSE,FALSE,Cloudy
1/3/2024,6,Fine Dining,Mushroom Soup,Lunch,"mushrooms, cream, onion, garlic, vegetable broth",3.5,15.14,22.46,210,FALSE,FALSE,Sunny
1/3/2024,19,Casual Dining,Teh Tarik,Lunch,"black tea, condensed milk, evaporated milk",0.9,2.99,3.79,496,FALSE,FALSE,Rainy
1/3/2024,23,Fine Dining,Beef Rendang,Lunch,"beef, coconut milk, galangal, lemongrass, spices, chili",9,44.46,74.97,23,FALSE,FALSE,Rainy
1/3/2024,25,Fine Dining,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9,41.75,62.39,103,TRUE,FALSE,Rainy
1/3/2024,44,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,12.65,14.06,192,FALSE,FALSE,Sunny
1/3/2024,23,Fine Dining,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9,42.29,73.42,113,FALSE,FALSE,Sunny
1/3/2024,46,Casual Dining,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2,6.72,9.66,274,FALSE,FALSE,Rainy
1/3/2024,8,Casual Dining,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,8.49,15.34,232,FALSE,FALSE,Rainy
1/4/2024,32,Fine Dining,Mushroom Soup,Dinner,"mushrooms, cream, onion, garlic, vegetable broth",3.5,13.64,28.55,0,FALSE,FALSE,Cloudy
1/4/2024,23,Fine Dining,Beef Rendang,Lunch,"beef, coconut milk, galangal, lemongrass, spices, chili",9,44.7,68.43,194,FALSE,FALSE,Cloudy
1/4/2024,5,Cafe,Iced Lemon Tea,Lunch,"black tea, lemon, sugar syrup",1.2,3.73,5.86,226,FALSE,FALSE,Sunny
1/4/2024,2,Food Stall,Roti Canai,Breakfast,"flour, ghee, egg, water, curry",0.8,1.95,2.21,435,FALSE,FALSE,Cloudy
1/4/2024,50,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7,13.95,24.04,53,FALSE,FALSE,Sunny
1/4/2024,30,Cafe,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2,6.35,7.92,359,FALSE,TRUE,Sunny
1/4/2024,39,Casual Dining,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,8.14,11.21,619,TRUE,FALSE,Sunny
1/4/2024,19,Casual Dining,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2,6.74,11.23,218,FALSE,FALSE,Cloudy
1/4/2024,30,Cafe,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2,5.79,6.65,425,TRUE,FALSE,Sunny
1/4/2024,13,Food Stall,Nasi Lemak,Lunch,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,4.47,7.31,346,FALSE,FALSE,Sunny
1/4/2024,39,Casual Dining,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9,31.28,46.56,0,FALSE,FALSE,Cloudy
1/4/2024,20,Casual Dining,Teh Tarik,Dinner,"black tea, condensed milk, evaporated milk",0.9,2.64,4.22,577,FALSE,FALSE,Sunny
1/4/2024,26,Food Stall,Nasi Lemak,Lunch,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,5.47,7.74,259,FALSE,FALSE,Sunny
1/4/2024,23,Fine Dining,Mushroom Soup,Dinner,"mushrooms, cream, onion, garlic, vegetable broth",3.5,18.5,26.95,73,FALSE,FALSE,Cloudy
1/4/2024,33,Cafe,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2,6.7,9.42,231,FALSE,FALSE,Rainy
1/4/2024,50,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7,14.13,23.99,129,FALSE,FALSE,Sunny
1/4/2024,13,Food Stall,Teh Tarik,Lunch,"black tea, condensed milk, evaporated milk",0.9,1.8,2.43,506,FALSE,FALSE,Sunny
1/4/2024,2,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7,15.98,24.27,172,FALSE,FALSE,Sunny
1/4/2024,10,Fine Dining,Chicken Chop,Dinner,"chicken thigh, black pepper sauce, fries, coleslaw",8,40.62,49.74,191,FALSE,FALSE,Cloudy
1/4/2024,47,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,8.86,15.33,178,FALSE,FALSE,Sunny
1/4/2024,44,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,9.21,14.53,270,FALSE,FALSE,Sunny
1/4/2024,34,Casual Dining,Char Kway Teow,Lunch,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5,14.73,28.49,207,FALSE,FALSE,Sunny
1/4/2024,10,Fine Dining,Iced Lemon Tea,Breakfast,"black tea, lemon, sugar syrup",1.2,6.84,8.44,141,FALSE,FALSE,Cloudy
1/4/2024,23,Fine Dining,Nasi Lemak,Lunch,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,11.46,9.51,477,TRUE,FALSE,Sunny
1/4/2024,44,Food Stall,Teh Tarik,Breakfast,"black tea, condensed milk, evaporated milk",0.9,1.87,2.81,497,FALSE,FALSE,Sunny
1/4/2024,48,Casual Dining,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,9.42,14.13,338,FALSE,FALSE,Sunny
1/4/2024,13,Food Stall,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2,4.89,7.04,279,FALSE,FALSE,Sunny
1/4/2024,11,Food Stall,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2,5.1,6.9,192,FALSE,FALSE,Sunny
1/5/2024,23,Fine Dining,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9,51.96,76.18,128,FALSE,FALSE,Cloudy
1/5/2024,12,Cafe,Teh Tarik,Lunch,"black tea, condensed milk, evaporated milk",0.9,3.27,3.22,316,FALSE,FALSE,Cloudy
1/5/2024,28,Fine Dining,Chicken Chop,Dinner,"chicken thigh, black pepper sauce, fries, coleslaw",8,45.43,68.49,40,FALSE,FALSE,Sunny
1/5/2024,4,Cafe,Teh Tarik,Lunch,"black tea, condensed milk, evaporated milk",0.9,2.88,3.62,439,FALSE,FALSE,Sunny
1/5/2024,36,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7,13.35,24.16,59,FALSE,FALSE,Cloudy
1/5/2024,4,Cafe,Teh Tarik,Dinner,"black tea, condensed milk, evaporated milk",0.9,3.42,3.89,226,FALSE,FALSE,Cloudy
1/5/2024,18,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,2.13,2.34,373,FALSE,FALSE,Sunny
1/5/2024,5,Cafe,Iced Lemon Tea,Breakfast,"black tea, lemon, sugar syrup",1.2,3.59,4.29,340,FALSE,FALSE,Cloudy
1/5/2024,9,Casual Dining,Teh Tarik,Dinner,"black tea, condensed milk, evaporated milk",0.9,2.41,4.5,535,FALSE,FALSE,Sunny
1/5/2024,25,Fine Dining,Beef Rendang,Lunch,"beef, coconut milk, galangal, lemongrass, spices, chili",9,55.63,68.8,153,FALSE,FALSE,Sunny
1/5/2024,43,Casual Dining,Mushroom Soup,Lunch,"mushrooms, cream, onion, garlic, vegetable broth",3.5,11.24,22.87,86,FALSE,FALSE,Sunny
1/5/2024,1,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,6.02,6.6,726,TRUE,FALSE,Cloudy
1/5/2024,21,Casual Dining,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9,23.92,37.16,290,FALSE,FALSE,Sunny
1/5/2024,8,Casual Dining,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2,6.78,7.14,288,TRUE,FALSE,Rainy
1/5/2024,50,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7,13.97,29.45,0,FALSE,FALSE,Sunny
1/5/2024,37,Food Stall,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2,3.83,7.59,35,FALSE,FALSE,Rainy
1/5/2024,12,Cafe,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,8.51,12.26,229,FALSE,FALSE,Rainy
1/5/2024,37,Food Stall,Char Kway Teow,Dinner,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5,11.92,22.36,42,FALSE,FALSE,Sunny
1/5/2024,11,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,10.53,16.21,53,FALSE,FALSE,Sunny
1/5/2024,3,Cafe,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,11.24,9.99,430,FALSE,FALSE,Sunny
1/5/2024,37,Food Stall,Teh Tarik,Breakfast,"black tea, condensed milk, evaporated milk",0.9,1.78,3.16,309,FALSE,FALSE,Rainy
1/5/2024,34,Casual Dining,Teh Tarik,Lunch,"black tea, condensed milk, evaporated milk",0.9,2.56,4.13,615,FALSE,FALSE,Sunny
1/5/2024,8,Casual Dining,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9,28.25,60.09,98,FALSE,FALSE,Sunny
1/5/2024,13,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,7.08,9.9,280,FALSE,FALSE,Cloudy
1/5/2024,2,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,1.84,2.7,348,FALSE,FALSE,Sunny
1/5/2024,38,Fine Dining,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9,44.16,63.52,0,FALSE,FALSE,Sunny
1/5/2024,28,Fine Dining,Mushroom Soup,Lunch,"mushrooms, cream, onion, garlic, vegetable broth",3.5,18.72,30.56,6,FALSE,FALSE,Sunny
1/5/2024,12,Cafe,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,8.65,11.69,268,FALSE,FALSE,Sunny
1/6/2024,37,Food Stall,Teh Tarik,Breakfast,"black tea, condensed milk, evaporated milk",0.9,1.95,2.57,896,FALSE,FALSE,Sunny
1/6/2024,20,Casual Dining,Spaghetti Carbonara,Lunch,"spaghetti, eggs, cheese, beef bacon, black pepper",9,30.01,62.08,106,FALSE,FALSE,Cloudy
1/6/2024,45,Food Stall,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2,3.95,3.6,599,TRUE,FALSE,Rainy
1/6/2024,16,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7,13.9,16.05,357,TRUE,FALSE,Sunny
1/6/2024,34,Casual Dining,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2,6.18,10,144,FALSE,FALSE,Cloudy
1/6/2024,16,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,1.63,2.11,407,FALSE,FALSE,Sunny
1/6/2024,10,Fine Dining,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9,42.09,66.97,67,FALSE,FALSE,Sunny
1/6/2024,40,Food Stall,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2,4.62,6.81,395,FALSE,TRUE,Cloudy
1/6/2024,36,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7,16.28,27.49,133,FALSE,FALSE,Sunny
1/6/2024,10,Fine Dining,Nasi Lemak,Breakfast,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,14.93,14.41,407,FALSE,FALSE,Rainy
1/6/2024,19,Casual Dining,Teh Tarik,Breakfast,"black tea, condensed milk, evaporated milk",0.9,2.95,4.54,836,FALSE,FALSE,Sunny
1/6/2024,12,Cafe,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9,34.33,36.17,176,FALSE,FALSE,Cloudy
1/6/2024,35,Food Stall,Chicken Rice,Lunch,"chicken, rice, ginger, garlic, chili sauce, cucumber",4,7.48,12.4,230,FALSE,FALSE,Sunny
1/6/2024,49,Kopitiam,Char Kway Teow,Lunch,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5,14.29,21.43,202,FALSE,FALSE,Cloudy
1/6/2024,45,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,5.3,8.18,531,FALSE,FALSE,Sunny
1/6/2024,34,Casual Dining,Char Kway Teow,Lunch,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5,14.59,25.34,199,FALSE,FALSE,Sunny
1/6/2024,9,Casual Dining,Chicken Chop,Lunch,"chicken thigh, black pepper sauce, fries, coleslaw",8,23.13,46.47,176,FALSE,FALSE,Sunny
1/6/2024,32,Fine Dining,Iced Lemon Tea,Dinner,"black tea, lemon, sugar syrup",1.2,4.68,5.14,751,TRUE,FALSE,Rainy
1/6/2024,37,Food Stall,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2,4.82,6.32,337,FALSE,FALSE,Rainy
1/6/2024,29,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,5.03,4.94,799,TRUE,FALSE,Sunny
1/6/2024,13,Food Stall,Teh Tarik,Dinner,"black tea, condensed milk, evaporated milk",0.9,1.94,2.87,551,FALSE,FALSE,Sunny
1/6/2024,4,Cafe,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,11.07,9.61,526,FALSE,FALSE,Sunny
1/6/2024,50,Food Stall,Roti Canai,Breakfast,"flour, ghee, egg, water, curry",0.8,1.59,2.35,610,FALSE,FALSE,Sunny
1/6/2024,47,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,12.71,15.8,68,FALSE,FALSE,Rainy
1/7/2024,18,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7,17.59,17.54,300,TRUE,FALSE,Sunny
1/7/2024,25,Fine Dining,Beef Rendang,Lunch,"beef, coconut milk, galangal, lemongrass, spices, chili",9,49.08,63.62,0,FALSE,FALSE,Sunny
1/7/2024,28,Fine Dining,Nasi Lemak,Lunch,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,10.22,16.76,421,FALSE,FALSE,Cloudy
1/7/2024,48,Casual Dining,Char Kway Teow,Dinner,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5,16.03,31.2,100,FALSE,FALSE,Cloudy
1/7/2024,42,Fine Dining,Nasi Lemak,Lunch,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,13.58,12.69,444,FALSE,FALSE,Sunny
1/7/2024,14,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,6.61,6.03,762,TRUE,TRUE,Rainy
1/7/2024,28,Fine Dining,Iced Lemon Tea,Breakfast,"black tea, lemon, sugar syrup",1.2,5.82,7.26,617,FALSE,FALSE,Sunny
1/7/2024,43,Casual Dining,Mushroom Soup,Lunch,"mushrooms, cream, onion, garlic, vegetable broth",3.5,9.56,18.36,25,FALSE,FALSE,Rainy
1/7/2024,45,Food Stall,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2,4,6.33,361,FALSE,FALSE,Cloudy
1/7/2024,9,Casual Dining,Beef Rendang,Lunch,"beef, coconut milk, galangal, lemongrass, spices, chili",9,23.86,41.77,241,FALSE,FALSE,Rainy
1/7/2024,35,Food Stall,Char Kway Teow,Dinner,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5,11.01,13.04,252,TRUE,FALSE,Rainy
1/7/2024,35,Food Stall,Char Kway Teow,Dinner,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5,9.37,19.51,165,FALSE,FALSE,Cloudy
1/7/2024,6,Fine Dining,Chicken Chop,Lunch,"chicken thigh, black pepper sauce, fries, coleslaw",8,34.97,43.6,283,FALSE,FALSE,Sunny
